Station,Postcode,Latitude,Longitude,TLC,NLC,Owner,Entries and exits 2024, Interchanges 2024
Bentley (Hampshire),GU10 5JZ,51.1812327932647,-0.868126900052275,BTY,5624,South Western Railway,98966,0
Bentley (South Yorkshire),DN5 0BE,53.543936635355,-1.15094859528964,BYK,8352,Northern Trains,133296,0
Bere Alston,PL20 7EP,50.4855988011236,-4.20035543651004,BAS,3549,Great Western Railway,37610,0
Bere Ferrers,PL20 7JS,50.4512820780774,-4.18143518031599,BFE,3550,Great Western Railway,13026,0
Berkhamsted,HP4 2AR,51.7631330812332,-0.562012981628892,BKM,1390,West Midlands Trains (London Northwestern Railway),1169582,0
Berkswell,CV7 7EF,52.3958819317755,-1.64284047482006,BKW,1045,West Midlands Trains (West Midlands Railway),254568,0
Bermuda Park,CV10 7JS,52.5014343619449,-1.47217775464212,BEP,6543,West Midlands Trains (West Midlands Railway),19798,0
Berney Arms,NR30 1SB,52.5897827472666,1.63037533346209,BYA,7330,Greater Anglia,800,0
Berry Brow,HD4 7LP,53.6210419716152,-1.79343228301033,BBW,8431,Northern Trains,26600,0
Berrylands,KT5 8LS,51.3990439366779,-0.280713667843256,BRS,5581,South Western Railway,339932,0
Berwick (Sussex),BN26 6TB,50.8403762860459,0.166017608785235,BRK,5323,Govia Thameslink Railway (Southern),73830,0
Berwick-Upon-Tweed,TD15 1NF,55.7743389009866,-2.01097357377303,BWK,7791,London North Eastern Railway,629944,12423
Bescar Lane,L40 9QP,53.623855333027,-2.9146110021991,BES,2351,Northern Trains,2304,0
Bescot Stadium,WS1 4NH,52.5630947071172,-1.9911057185482,BSC,1003,West Midlands Trains (West Midlands Railway),150102,0
Betchworth,RH3 7BZ,51.2481879331766,-0.266973015200458,BTO,5472,Great Western Railway,10460,0
Bethnal Green Rail,E2 6JL,51.5239156627757,-0.0595680464428894,BET,6961,London Overground,1686946,0
Betws-y-Coed,LL24 0AE,53.0920709395504,-3.80086212197837,BYC,2449,TfW Rail,44014,0
Beverley,HU17 0AS,53.8422725915824,-0.422980126740875,BEV,8048,Northern Trains,642776,6
Bexhill,TN40 1EB,50.84103990242,0.477016592346932,BEX,5211,Govia Thameslink Railway (Southern),1383558,0
Bexley,DA5 1AQ,51.4402175270263,0.147902494716889,BXY,5093,Southeastern,1044856,0
Bexleyheath,DA7 4AA,51.4634982236074,0.133734871030645,BXH,5094,Southeastern,1463740,0
Bicester North,OX26 6EF,51.9034829537461,-1.15038352192815,BCS,3048,Chiltern Railways,758300,3984
Bicester Village,OX26 6HU,51.8930236127002,-1.14876425178293,BIT,3104,Chiltern Railways,1760214,832
Bickley,BR1 2EB,51.4001024308637,0.0452405405139698,BKL,5063,Southeastern,691420,3888
Bidston,CH43 7RF,53.4091398593576,-3.07856110228132,BID,2136,Merseyrail,296662,76621
Biggleswade,SG18 8AL,52.0846785950736,-0.261187193156868,BIW,6170,Govia Thameslink Railway (Great Northern),789284,0
Bilbrook,WV8 1LE,52.6237197237583,-2.18608801838282,BBK,4618,West Midlands Trains (West Midlands Railway),135478,0
Billericay,CM12 0BP,51.6288812691945,0.418629610467223,BIC,6871,Greater Anglia,2193948,0
Billingham,TS23 3TG,54.605606575355,-1.27971968622732,BIL,7910,Northern Trains,98006,0
Billingshurst,RH14 9SE,51.0152034952011,-0.450302232654151,BIG,5464,Govia Thameslink Railway (Southern),408086,0
Bingham,NG13 8TF,52.9541905628363,-0.95154335353279,BIN,6235,East Midlands Railway,61816,0
Bingley,BD16 2NA,53.8486154371384,-1.8373224993653,BIY,8553,Northern Trains,938782,0
Birchgrove,CF14 4SY,51.5215597229164,-3.20185379786194,BCG,3907,TfW Rail,49066,0
